epoch,train_acc,train_loss,test_acc,test_loss
1,tensor(9.7780),2.3027865679931643,tensor(9.9200),2.3025858963012698
2,tensor(9.9400),2.3016508676147462,tensor(10.0600),2.3013439121246337
3,tensor(10.0140),2.3003647149658204,tensor(10.0100),2.2998783950805666
4,tensor(11.5620),2.2978567352294923,tensor(12.0200),2.2969509845733644
5,tensor(15.7060),2.292373755187988,tensor(16.4800),2.2904173164367676
6,tensor(15.2800),2.2738731051635743,tensor(16.4100),2.2677962951660158
7,tensor(16.1480),2.244798630371094,tensor(16.8800),2.230825917816162
8,tensor(18.1380),2.2140032891845705,tensor(19.1600),2.1866430362701417
9,tensor(19.5220),2.164866477661133,tensor(20.7400),2.1238777883529663
10,tensor(21.4500),2.143272668457031,tensor(23.0500),2.0830665744781496
11,tensor(24.9280),2.086811266479492,tensor(27.2100),2.015400692939758
12,tensor(24.5960),2.067552367553711,tensor(27.1800),1.9857498764038086
13,tensor(26.8400),2.031639008178711,tensor(29.3500),1.9424215185165405
14,tensor(28.1320),2.0163726470947267,tensor(30.8300),1.9144561340332031
15,tensor(27.3700),2.006518737182617,tensor(29.5600),1.910607096862793
